AST,Age,BLK,DRB,FGA,FGM,FGP,FTA,FTM,FTP,Games,GamesStarted,MinutesPlayed,Name,ORB,PF,PTS,Pos,STL,TOV,TRB,Team,ThreePA,ThreePM,ThreePP,TwoPA,TwoPM,TwoPP,eFGP
2.4,26,1.1,6.0,7.6,4.5,.591,3.2,1.9,.590,58,58,27.0,Steven Adams,3.4,1.9,10.9,C,0.9,1.5,9.4,OKC,0.1,0.0,.333,7.6,4.5,.593,.593
5.1,22,1.3,8.0,11.1,6.3,.567,5.3,3.6,.690,65,65,34.4,Bam Adebayo,2.5,2.5,16.2,PF,1.2,2.8,10.5,MIA,0.2,0.0,.077,10.9,6.3,.576,.568
2.4,34,1.6,5.5,15.0,7.4,.493,3.6,3.0,.827,53,53,33.1,LaMarcus Aldridge,1.9,2.4,18.9,C,0.7,1.4,7.4,SAS,3.0,1.2,.389,12.0,6.2,.519,.532
1.8,21,0.2,1.8,5.5,1.9,.339,0.7,0.4,.607,41,0,12.2,Nickeil Alexander-Walker,0.2,1.1,5.1,SG,0.3,1.0,2.0,NOP,2.9,1.0,.342,2.7,0.9,.336,.427
1.4,24,0.0,2.0,5.9,2.6,.449,1.2,1.0,.857,30,0,16.6,Grayson Allen,0.2,1.2,7.4,SG,0.2,0.8,2.2,MEM,3.0,1.1,.363,2.8,1.5,.541,.543
1.3,21,1.3,6.4,6.5,4.2,.646,3.7,2.3,.620,64,58,25.7,Jarrett Allen,3.0,2.3,10.6,C,0.6,1.1,9.5,BRK,0.1,0.0,.000,6.4,4.2,.654,.646
2.1,27,0.2,0.7,4.4,1.9,.432,1.1,0.7,.636,10,0,11.7,Kadeem Allen,0.2,0.7,5.0,SG,0.5,0.8,0.9,NYK,1.6,0.5,.313,2.8,1.4,.500,.489
1.2,29,0.4,3.5,4.8,1.4,.291,1.6,1.1,.655,18,2,21.1,Al-Farouq Aminu,1.3,1.5,4.3,PF,1.0,0.9,4.8,ORL,2.0,0.5,.250,2.8,0.9,.320,.343
0.0,26,0.3,0.7,2.0,0.3,.167,0.7,0.3,.500,3,0,5.7,Justin Anderson,0.0,0.7,1.0,SF,0.0,0.0,0.7,BRK,1.0,0.0,.000,1.0,0.3,.333,.167
2.2,26,0.5,3.4,4.7,2.3,.493,1.1,0.7,.652,59,20,19.3,Kyle Anderson,0.9,1.4,5.7,PF,0.8,0.9,4.4,MEM,1.1,0.3,.258,3.7,2.1,.560,.521
1.0,31,0.0,3.5,3.5,1.0,.286,0.0,0.0,,2,0,7.0,Ryan Anderson,0.0,0.5,2.5,PF,0.5,0.5,3.5,HOU,2.5,0.5,.200,1.0,0.5,.500,.357
5.8,25,1.0,11.5,20.0,10.9,.547,10.0,6.3,.633,57,57,30.9,Giannis Antetokounmpo,2.3,3.0,29.6,PF,1.0,3.7,13.7,MIL,4.8,1.5,.306,15.2,9.5,.622,.583
0.3,22,0.0,0.3,0.0,0.0,,0.0,0.0,,3,0,1.7,Kostas Antetokounmpo,0.0,0.0,0.0,PF,0.0,0.0,0.3,LAL,0.0,0.0,,0.0,0.0,,
0.5,27,0.1,0.4,2.0,1.1,.528,0.8,0.4,.467,18,2,5.2,Thanasis Antetokounmpo,0.6,0.7,2.5,SF,0.3,0.6,1.1,MIL,0.4,0.0,.000,1.6,1.1,.655,.528
1.6,35,0.5,5.0,13.6,5.8,.426,2.7,2.3,.843,50,50,32.5,Carmelo Anthony,1.2,2.8,15.3,PF,0.8,1.7,6.3,POR,3.9,1.4,.371,9.7,4.3,.447,.479
1.6,22,0.7,4.2,8.4,4.2,.507,1.4,0.9,.686,63,62,30.1,OG Anunoby,1.2,2.5,10.7,SF,1.4,1.2,5.4,TOR,3.4,1.3,.381,5.0,2.9,.593,.584
1.7,25,0.1,1.6,3.8,1.6,.409,0.7,0.5,.711,58,4,16.0,Ryan Arcidiacono,0.3,1.7,4.5,PG,0.5,0.6,1.9,CHI,2.4,0.9,.391,1.4,0.6,.439,.532
1.7,34,0.3,4.0,6.1,2.7,.438,1.4,1.2,.838,53,21,28.2,Trevor Ariza,0.6,2.1,8.0,SF,1.3,1.1,4.6,,3.9,1.5,.372,2.2,1.2,.556,.557
4.6,32,0.0,1.9,8.1,3.2,.393,3.2,2.8,.885,49,6,24.8,D.J. Augustin,0.4,1.1,10.4,PG,0.6,1.4,2.2,ORL,3.6,1.2,.345,4.6,2.0,.430,.469
1.9,21,1.7,7.9,15.5,8.5,.548,2.6,2.0,.769,30,25,33.2,Deandre Ayton,4.1,3.2,19.0,C,0.7,2.4,12.0,PHO,0.1,0.0,.000,15.4,8.5,.552,.548
1.3,24,0.1,2.2,6.3,2.2,.348,1.4,0.9,.660,39,11,17.6,Dwayne Bacon,0.4,1.3,5.7,SG,0.6,0.9,2.6,CHO,1.7,0.5,.284,4.5,1.7,.373,.387
0.8,20,0.9,5.2,12.8,6.0,.467,2.4,1.9,.806,13,6,25.7,Marvin Bagley III,2.2,3.3,14.2,PF,0.5,1.4,7.5,SAC,1.7,0.3,.182,11.2,5.7,.510,.479
7.0,22,0.5,5.1,11.2,4.6,.412,1.2,0.7,.567,56,47,32.4,Lonzo Ball,1.1,2.0,12.4,PG,1.4,3.1,6.2,NOP,6.5,2.5,.383,4.7,2.1,.453,.523
0.7,21,1.4,3.4,4.7,2.2,.468,0.8,0.5,.674,60,0,14.5,Mo Bamba,1.6,1.9,5.5,C,0.4,0.7,5.0,ORL,1.7,0.6,.356,3.0,1.6,.534,.534
3.8,35,0.1,1.5,6.9,2.8,.413,0.7,0.7,.944,26,4,15.0,J.J. Barea,0.4,1.0,7.5,PG,0.2,1.3,1.8,DAL,2.9,1.1,.382,4.0,1.7,.437,.494
2.4,27,0.2,3.8,11.1,5.1,.459,3.8,3.1,.803,64,64,34.9,Harrison Barnes,1.0,1.3,14.7,PF,0.6,1.3,4.8,SAC,3.8,1.5,.383,7.3,3.6,.498,.524
2.6,19,0.3,4.1,13.0,5.2,.402,4.5,2.8,.614,56,55,30.4,RJ Barrett,0.9,2.2,14.3,SG,1.0,2.2,5.0,NYK,3.5,1.1,.320,9.5,4.1,.432,.445
3.7,29,0.5,5.0,12.7,5.7,.450,2.3,1.8,.767,58,58,33.0,Will Barton,1.3,2.1,15.1,SF,1.1,1.5,6.3,DEN,5.0,1.9,.375,7.8,3.9,.498,.523
0.8,24,0.5,2.3,5.3,2.3,.428,1.8,1.3,.710,39,0,17.1,Keita Bates-Diop,0.5,1.0,6.6,SF,0.4,0.4,2.9,,2.4,0.8,.330,2.9,1.5,.509,.502
3.0,31,0.4,3.4,3.7,1.3,.346,0.5,0.4,.900,22,3,23.0,Nicolas Batum,1.1,1.9,3.6,SF,0.8,1.0,4.5,CHO,2.2,0.6,.286,1.5,0.6,.438,.432
1.6,33,0.5,4.0,9.1,4.4,.480,1.8,1.3,.747,42,28,22.2,Aron Baynes,1.7,3.4,11.5,C,0.2,1.2,5.6,PHO,4.0,1.4,.351,5.1,3.0,.582,.558
1.3,30,0.6,4.0,7.7,2.9,.374,2.2,1.7,.768,64,21,25.1,Kent Bazemore,0.4,2.8,8.7,SF-SG,1.1,1.3,4.3,,3.6,1.2,.342,4.2,1.7,.401,.453
0.5,19,0.7,3.3,4.3,1.7,.383,0.9,0.6,.681,53,8,17.2,Darius Bazley,0.4,0.8,4.5,PF,0.4,0.8,3.7,OKC,1.9,0.6,.300,2.5,1.1,.446,.448
